Type,Subtype,Link,Name,Description
property,html,prop_html_accesskey.asp,accessKey,Sets or returns the accesskey attribute of an element
method,element,met_element_addeventlistener.asp,addEventListener(),Attaches an event handler to the specified element
method,node,met_node_appendchild.asp,appendChild(),"Adds a new child node, to an element, as the last child node"
property,node,prop_node_attributes.asp,attributes,Returns a NamedNodeMap of an element's attributes
method,html,met_html_blur.asp,blur(),Removes focus from an element
property,element,prop_element_childelementcount.asp,childElementCount,Returns the number of child elements an element has
property,node,prop_node_childnodes.asp,childNodes,Returns a collection of an element's child nodes (including text and comment nodes)
property,element,prop_element_children.asp,children,Returns a collection of an element's child element (excluding text and comment nodes)
property,element,prop_element_classlist.asp,classList,Returns the class name(s) of an element
property,html,prop_html_classname.asp,className,Sets or returns the value of the class attribute of an element
method,html,met_html_click.asp,click(),Simulates a mouse-click on an element
property,element,prop_element_clientheight.asp,clientHeight,"Returns the height of an element, including padding"
property,element,prop_element_clientleft.asp,clientLeft,Returns the width of the left border of an element
property,element,prop_element_clienttop.asp,clientTop,Returns the width of the top border of an element
property,element,prop_element_clientwidth.asp,clientWidth,"Returns the width of an element, including padding"
method,node,met_node_clonenode.asp,cloneNode(),Clones an element
method,node,met_node_comparedocumentposition.asp,compareDocumentPosition(),Compares the document position of two elements
method,node,met_node_contains.asp,contains(),"Returns true if a node is a descendant of a node, otherwise false"
property,html,prop_html_contenteditable.asp,contentEditable,Sets or returns whether the content of an element is editable or not
property,html,prop_html_dir.asp,dir,Sets or returns the value of the dir attribute of an element
method,element,met_element_exitfullscreen.asp,exitFullscreen(),Cancels an element in fullscreen mode
property,node,prop_node_firstchild.asp,firstChild,Returns the first child node of an element
property,element,prop_element_firstelementchild.asp,firstElementChild,Returns the first child element of an element
method,html,met_html_focus.asp,focus(),Gives focus to an element
method,element,met_element_getattribute.asp,getAttribute(),Returns the specified attribute value of an element node
method,element,met_element_getattributenode.asp,getAttributeNode(),Returns the specified attribute node
method,element,met_element_getboundingclientrect.asp,getBoundingClientRect(),Returns the size of an element and its position relative to the viewport
method,element,met_element_getelementsbyclassname.asp,getElementsByClassName(),Returns a collection of all child elements with the specified class name
method,element,met_element_getelementsbytagname.asp,getElementsByTagName(),Returns a collection of all child elements with the specified tag name
method,element,met_element_hasattribute.asp,hasAttribute(),"Returns true if an element has the specified attribute, otherwise false"
method,node,met_node_hasattributes.asp,hasAttributes(),"Returns true if an element has any attributes, otherwise false"
method,node,met_node_haschildnodes.asp,hasChildNodes(),"Returns true if an element has any child nodes, otherwise false"
property,html,prop_html_id.asp,id,Sets or returns the value of the id attribute of an element
property,html,prop_html_innerhtml.asp,innerHTML,Sets or returns the content of an element
property,node,prop_node_innertext.asp,innerText,Sets or returns the text content of a node and its descendants
method,node,met_node_insertadjacentelement.asp,insertAdjacentElement(),Inserts a HTML element at the specified position relative to the current element
method,node,met_node_insertadjacenthtml.asp,insertAdjacentHTML(),Inserts a HTML formatted text at the specified position relative to the current element
method,node,met_node_insertadjacenttext.asp,insertAdjacentText(),Inserts text into the specified position relative to the current element
method,node,met_node_insertbefore.asp,insertBefore(),"Inserts a new child node before a specified, existing, child node"
property,html,prop_html_iscontenteditable.asp,isContentEditable,"Returns true if the content of an element is editable, otherwise false"
method,node,met_node_isdefaultnamespace.asp,isDefaultNamespace(),"Returns true if a specified namespaceURI is the default, otherwise false"
method,node,met_node_isequalnode.asp,isEqualNode(),Checks if two elements are equal
method,node,met_node_issamenode.asp,isSameNode(),Checks if two elements are the same node
method,node,met_node_issupported.asp,isSupported(),Returns true if a specified feature is supported on the element
property,html,prop_html_lang.asp,lang,Sets or returns the value of the lang attribute of an element
property,node,prop_node_lastchild.asp,lastChild,Returns the last child node of an element
property,element,prop_element_lastelementchild.asp,lastElementChild,Returns the last child element of an element
property,node,prop_node_namespaceuri.asp,namespaceURI,Returns the namespace URI of an element
property,node,prop_node_nextsibling.asp,nextSibling,Returns the next node at the same node tree level
property,element,prop_element_nextelementsibling.asp,nextElementSibling,Returns the next element at the same node tree level
property,node,prop_node_nodename.asp,nodeName,Returns the name of a node
property,node,prop_node_nodetype.asp,nodeType,Returns the node type of a node
property,node,prop_node_nodevalue.asp,nodeValue,Sets or returns the value of a node
